"RefDes","Type","Value","Quantity"
"B1","BU2032-1-HD-G","3V","1"
"C1","CAP_0603","100n","1"
"C2","CAP_0603","100n","1"
"C3","CAP_0603","3.3n","1"
"C4","CAP_0603","3.3n","1"
"J1","ATMEL-ICSP","","1"
"R1","RES_0603","10K","1"
"R2","RES_0603","Optional","1"
"S1","SDA01H1BD","","1"
"TP1","Test Point","","1"
"TP2","Test Point","","1"
"TP3","Test Point","","1"
"TP4","Test Point","","1"
"U1","ATMEGA48_MLF","","1"
"U2","MMA6331L","","1"
"U3","7SEGMENT-COMMON-ANODE","","1"
"X1","CRYSTAL-AB26TRB","32.768K","1"
